Table,Field,Description,Example,Insights Logs
Server Connection,%s{is_sslselfsigned},Indicates whether the certificate presented by the server to the ZIA Public Service Edge was self-signed,"No
None
Yes",Server Certificate Self Signed
Server Connection,%s{is_sslexpiredca},Indicates whether the certificate presented by the server is expired or not,"No
None
Yes",Server Connection Cert Expiry
Threat Protection,%d{riskscore},"The Page Risk Index score of the destination URL. The service computes risk for each page by weighing several factors, including page locations, reputation of destination, and content that may look suspicious. The range is 0–100, from the lowest to the highest risk.",10,Suspicious Content
Threat Protection,%s{threatseverity},"The severity of the threat that was detected in the transaction, if any. The severity relates to the Page Risk Index score. For example, if the value of %d{riskscore} is between 90 and 100, then the value of %s{threatseverity} is Critical.","Critical (90–100)
High (75–89)
Medium (46–74)
Low (1–45)
None (0)",Threat Severity
Threat Protection,%s{threatname},"The name of the threat that was detected in the transaction, if any",EICAR Test File,Threat Name
Threat Protection,%s{malwarecat},"The category of malware that was detected in the transaction, if any. Also indicates if a file was submitted to the Sandbox engine for analysis and the result of the analysis.","Adware, Benign, Trojan
Sandbox Adware, Sandbox Anonymizer, Sandbox Malware
The full list is under the Threat Category filter on the Web Insights page (Analytics > Web Insights).
The Threat Category Sent for Analysis is equivalent to “Submitted to Sandbox” in the SIEM output. Additionally, Other Virus is equivalent to ""Virus"" for backward compatibility.",Threat Category
Threat Protection,%s{malwareclass},"The class of malware that was detected in the transaction, if any",Sandbox,Threat Super Category
URL Categorization,%s{urlclass},The class of the destination URL,"Bandwidth Loss, General Surfing, Privacy Risk
The full list is on the URL Categories page (Administration > URL Categories).",URL Class
URL Categorization,%s{urlsupercat},The super category of the destination URL,"Entertainment/Recreation, Travel, Security
The full list is on the URL Categories page (Administration > URL Categories).",URL Super Category
URL Categorization,%s{urlcat},The category of the destination URL,"Entertainment, Adult Themes, Games
Spyware Callback
The full list is on the URL Categories page (Administration > URL Categories).
Also includes the Advanced Threat Category. The full list is under the Advanced Threat Category filter on the Web Insights page (Analytics > Web Insights).",URL Category
URL Categorization,%s{urlcatmethod},"Refers to the source of the URL's category. To learn more, see Web Insights Logs: Columns.","Database A
Database B
AI/ML-based content categorization
User-Defined
None",URL Categorization Method
Zscaler Client Connector Device Information,%s{devicehostname},The hostname of the device,THINKPADSMITH,Device Hostname
Zscaler Client Connector Device Information,%s{devicemodel},The model of the device,20L8S7WC08,Device Model
Zscaler Client Connector Device Information,%s{devicename},The name of the device,PC11NLPA:5F08D97BBF43257A8FB4BBF4061A38AE324EF734,Device Name
Zscaler Client Connector Device Information,%s{devicetype},The type of device,Zscaler Client Connector,Device Type
Zscaler Client Connector Device Information,%s{deviceostype},The OS type of the device,"iOS
Android OS
Windows OS
MAC OS
Other OS",OS Type
Zscaler Client Connector Device Information,%s{deviceosversion},The OS version the device uses,Version 10.14.2 (Build 18C54),OS Version
Zscaler Client Connector Device Information,%s{deviceowner},The owner of the device,jsmith,Device Owner
Zscaler Client Connector Device Information,%s{deviceappversion},The app version the device uses,2.0.0.120,Enrolled Device appversion
Zscaler Client Connector Device Information,%s{ztunnelversion},The Z-Tunnel version,ZTUNNEL_1_0,Zscaler Client Connector Tunnel Version
Zscaler Client Connector Device Information,%s{external_devid},The external device ID that associates a user’s device with the mobile device management (MDM) solution,1234,External Device ID
Zscaler Client Connector Device Information,%d{bypassed_traffic},Indicates whether the traffic bypassed the Zscaler Client Connector or not,"1 indicates that the traffic bypassed Zscaler Client Connector
0 indicates that the traffic did not bypass Zscaler Client Connector",Bypassed Transaction
Zscaler Client Connector Device Information,%s{bypassed_etime},The date and time when the traffic bypassed the Zscaler Client Connector,Mon Oct 16 22:55:48 2023,Bypassed Transaction Event Time
Zscaler Client Connector Device Information,%s{flow_type},The flow type of the transaction,"Direct
Loopback
VPN
VPN Tunnel
ZIA
ZPA",Flow Type
Miscellaneous,%d{recordid},The unique record identifier for each log,,This field is specific to NSS
Miscellaneous,%s{pcapid},"The path of the packet capture (PCAP) file that captured the transaction. The PCAP ID has the following format: <Company ID>/<Directory>/<PCAP File Name>. The company ID is the internal ID of an organization and can be found on the Company Profile page. The directory is the log type. To download the PCAP file, go to the Capture column on the Web Insights Logs page.",43139974/web/663ba8fd30b50001.pcap,Capture
Miscellaneous,%s{productversion},The current version of the product. Useful for SIEMs whose format requires the product internal version to be sent in the log output.,5.0.902.95524_04,This field is specific to NSS
Miscellaneous,%s{nsssvcip},The service IP address of the NSS. Useful for syslog-format logs that require the origin host IP address to be specified.,10.10.102.300,This field is specific to NSS
Miscellaneous,%s{eedone},Indicates if the characters specified in the Feed Escape Character field of the NSS feed configuration page were hex encoded,Yes,This field is specific to NSS
